"No.","Time","Source","Destination","Protocol","Length","Info","dest (r)","dest(u)","src (r)","src(u)","New Column"
"55","5.388756","20.189.173.24","192.168.111.43","TLSv1.3","641","Application Data","62442","62442","443","443","55"
"56","5.388909","192.168.111.43","20.189.173.24","TCP","66","62442  >  443 [ACK] Seq=923 Ack=6467 Win=124864 Len=0 TSval=2948496882 TSecr=3189576031","443","443","62442","62442","56"
"57","5.389074","192.168.111.43","20.189.173.24","TCP","66","[TCP Window Update] 62442  >  443 [ACK] Seq=923 Ack=6467 Win=131072 Len=0 TSval=2948496882 TSecr=3189576031","443","443","62442","62442","57"
"58","5.409066","192.168.111.43","20.189.173.24","TLSv1.3","140","Application Data","443","443","62442","62442","58"
"59","5.410816","192.168.111.43","20.189.173.24","TLSv1.3","459","Application Data","443","443","62442","62442","59"
"60","5.411128","192.168.111.43","20.189.173.24","TCP","1494","62442  >  443 [ACK] Seq=1390 Ack=6467 Win=131072 Len=1428 TSval=2948496904 TSecr=3189576031 [TCP PDU reassembled in 61]","443","443","62442","62442","60"
"61","5.411143","192.168.111.43","20.189.173.24","TLSv1.3","1324","Application Data","443","443","62442","62442","61"
"62","5.579863","20.189.173.24","192.168.111.43","TCP","66","443  >  62442 [ACK] Seq=6467 Ack=1390 Win=4193280 Len=0 TSval=3189576135 TSecr=2948496902","62442","62442","443","443","62"
"63","5.579865","20.189.173.24","192.168.111.43","TCP","66","443  >  62442 [ACK] Seq=6467 Ack=4076 Win=4194816 Len=0 TSval=3189576135 TSecr=2948496904","62442","62442","443","443","63"
"64","5.650774","20.189.173.24","192.168.111.43","TLSv1.3","169","Application Data","62442","62442","443","443","64"
"65","5.650775","20.189.173.24","192.168.111.43","TLSv1.3","128","Application Data","62442","62442","443","443","65"
"66","5.650776","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","66"
"67","5.650932","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4054 Win=131008 Len=0 TSval=1579526326 TSecr=577325083","443","443","62441","62441","67"
"68","5.651011","192.168.111.43","20.189.173.24","TCP","66","62442  >  443 [ACK] Seq=4076 Ack=6632 Win=130880 Len=0 TSval=2948497144 TSecr=3189576156","443","443","62442","62442","68"
"69","5.651502","192.168.111.43","20.189.173.24","TLSv1.3","97","Application Data","443","443","62442","62442","69"
"70","5.713236","20.189.173.24","192.168.111.43","TLSv1.3","375","Application Data, Application Data","62442","62442","443","443","70"
"71","5.713417","192.168.111.43","20.189.173.24","TCP","66","62442  >  443 [ACK] Seq=4107 Ack=6941 Win=130752 Len=0 TSval=2948497206 TSecr=3189576356","443","443","62442","62442","71"
"72","5.763662","20.189.173.24","192.168.111.43","TCP","66","443  >  62442 [ACK] Seq=6941 Ack=4107 Win=4194816 Len=0 TSval=3189576409 TSecr=2948497144","62442","62442","443","443","72"
"73","5.836253","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.100? Tell 192.168.111.75","","","","","73"
"74","5.936931","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","74"
"75","5.937092","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4089 Win=131008 Len=0 TSval=1579526612 TSecr=577325491","443","443","62441","62441","75"
"76","6.140644","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.47? Tell 192.168.111.75","","","","","76"
"77","6.443900","6a:40:3f:1e:c4:aa","Broadcast","ARP","42","Who has 192.168.111.52? Tell 192.168.111.153","","","","","77"
"78","6.484268","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","78"
"79","6.484431","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4124 Win=131008 Len=0 TSval=1579527159 TSecr=577325915","443","443","62441","62441","79"
"80","6.753627","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.100? Tell 192.168.111.75","","","","","80"
"81","6.951130","192.168.111.43","17.248.168.104","UDP","83","58571  >  443 Len=41","443","443","58571","58571","81"
"82","7.011629","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","82"
"83","7.011828","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4159 Win=131008 Len=0 TSval=1579527687 TSecr=577326338","443","443","62441","62441","83"
"84","7.036076","17.248.168.104","192.168.111.43","UDP","73","443  >  58571 Len=31","58571","58571","443","443","84"
"85","7.063069","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.149? Tell 192.168.111.75","","","","","85"
"86","7.194464","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","86"
"87","7.194641","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4194 Win=131008 Len=0 TSval=1579527869 TSecr=577326753","443","443","62441","62441","87"
"88","7.677086","192.168.111.153","224.0.0.251","MDNS","480","Standard query response 0x0000 PTR Jinghanâ\200\231s MacBook Air (3)._companion-link._tcp.local TXT TXT, cache flush AAAA, cache flush fe80::14b1:b87c:9ecd:3901 A, cache flush 192.168.111.153 SRV, cache flush 0 0 52568 Jinghans-MacBook-Air-4.local NSEC, cache flush Jinghanâ\200\231s MacBook Air (3)._companion-link._tcp.local NSEC, cache flush Jinghans-MacBook-Air-4.local","5353","5353","5353","5353","88"
"89","7.677088","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","89"
"90","7.677500","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4229 Win=131008 Len=0 TSval=1579528352 TSecr=577327182","443","443","62441","62441","90"
"91","7.979563","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.100? Tell 192.168.111.75","","","","","91"
"92","8.078691","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","92"
"93","8.078860","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4264 Win=131008 Len=0 TSval=1579528754 TSecr=577327593","443","443","62441","62441","93"
"94","8.289985","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.149? Tell 192.168.111.75","","","","","94"
"95","8.438790","17.250.105.13","192.168.111.43","TLSv1.2","90","Application Data","62421","62421","443","443","95"
"96","8.438980","192.168.111.43","17.250.105.13","TCP","54","62421  >  443 [RST] Seq=1 Win=0 Len=0","443","443","62421","62421","96"
"97","8.449282","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","97"
"98","8.449430","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4299 Win=131008 Len=0 TSval=1579529124 TSecr=577328002","443","443","62441","62441","98"
"99","8.612175","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.149? Tell 192.168.111.75","","","","","99"
"100","8.897390","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.202? Tell 192.168.111.75","","","","","100"
"101","8.903862","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","101"
"102","8.904028","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4334 Win=131008 Len=0 TSval=1579529579 TSecr=577328415","443","443","62441","62441","102"
"103","9.215574","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.45? Tell 192.168.111.75","","","","","103"
"104","9.317669","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","104"
"105","9.317920","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4369 Win=131072 Len=0 TSval=1579529993 TSecr=577328850","443","443","62441","62441","105"
"106","9.973946","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","106"
"107","9.974242","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4404 Win=131072 Len=0 TSval=1579530649 TSecr=577329255","443","443","62441","62441","107"
"108","10.131716","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.189? Tell 192.168.111.75","","","","","108"
"109","10.136191","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","109"
"110","10.136358","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4439 Win=131072 Len=0 TSval=1579530811 TSecr=577329693","443","443","62441","62441","110"
"111","10.651703","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","111"
"112","10.651979","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4474 Win=131072 Len=0 TSval=1579531327 TSecr=577330105","443","443","62441","62441","112"
"113","10.741037","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.189? Tell 192.168.111.75","","","","","113"
"114","11.167847","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","114"
"115","11.168128","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4509 Win=131072 Len=0 TSval=1579531843 TSecr=577330518","443","443","62441","62441","115"
"116","11.361413","192.168.111.153","224.0.0.251","MDNS","175","Standard query 0x0000 SRV HP Color LaserJet Pro M252dw (12DD9F)._ipps._tcp.local, ""QM"" question TXT HP Color LaserJet Pro M252dw (12DD9F)._ipps._tcp.local, ""QM"" question SRV HP Color LaserJet Pro M252dw (12DD9F)._ipp._tcp.local, ""QM"" question TXT HP Color LaserJet Pro M252dw (12DD9F)._ipp._tcp.local, ""QM"" question","5353","5353","5353","5353","116"
"117","11.571709","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","117"
"118","11.572016","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4544 Win=131072 Len=0 TSval=1579532247 TSecr=577330933","443","443","62441","62441","118"
"119","11.678849","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","119"
"120","12.113283","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","120"
"121","12.113571","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4579 Win=131072 Len=0 TSval=1579532788 TSecr=577331351","443","443","62441","62441","121"
"122","12.214528","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","122"
"123","12.214687","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4614 Win=131072 Len=0 TSval=1579532889 TSecr=577331774","443","443","62441","62441","123"
"124","12.276008","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.222? Tell 192.168.111.75","","","","","124"
"125","12.603673","CloudNetwork_87:8a:5b","Broadcast","ARP","60","Who has 169.254.169.254? Tell 192.168.111.96","","","","","125"
"126","12.813806","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","126"
"127","12.814021","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4649 Win=131072 Len=0 TSval=1579533489 TSecr=577332203","443","443","62441","62441","127"
"128","12.885669","192.168.111.43","35.190.56.82","TLSv1.2","90","Application Data","443","443","62116","62116","128"
"129","12.886609","192.168.111.43","35.190.56.82","TCP","66","62116  >  443 [FIN, ACK] Seq=25 Ack=1 Win=2048 Len=0 TSval=3403176654 TSecr=1009789955","443","443","62116","62116","129"
"130","12.889667","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","130"
"131","12.896524","35.190.56.82","192.168.111.43","TCP","54","443  >  62116 [RST] Seq=1 Win=0 Len=0","62116","62116","443","443","131"
"132","13.047480","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","132"
"133","13.047794","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4684 Win=131072 Len=0 TSval=1579533723 TSecr=577332611","443","443","62441","62441","133"
"134","13.202409","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.54? Tell 192.168.111.75","","","","","134"
"135","13.313124","ASUSTekCOMPU_1f:de:80","Apple_1c:fe:8a","ARP","42","192.168.111.1 is at 34:97:f6:1f:de:80","","","","","135"
"136","13.487522","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","136"
"137","13.487810","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4719 Win=131072 Len=0 TSval=1579534163 TSecr=577333051","443","443","62441","62441","137"
"138","13.831907","CloudNetwork_87:8a:5b","Broadcast","ARP","60","Who has 169.254.169.254? Tell 192.168.111.96","","","","","138"
"139","14.125914","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","139"
"140","14.125916","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","140"
"141","14.126230","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4754 Win=131072 Len=0 TSval=1579534801 TSecr=577333668","443","443","62441","62441","141"
"142","14.576596","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","142"
"143","14.576869","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4789 Win=131072 Len=0 TSval=1579535252 TSecr=577334023","443","443","62441","62441","143"
"144","14.737686","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","144"
"145","14.905932","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","145"
"146","14.906228","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4824 Win=131072 Len=0 TSval=1579535581 TSecr=577334397","443","443","62441","62441","146"
"147","15.045247","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.191? Tell 192.168.111.75","","","","","147"
"148","15.297184","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","148"
"149","15.297438","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4859 Win=131072 Len=0 TSval=1579535972 TSecr=577334788","443","443","62441","62441","149"
"150","15.966106","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","150"
"151","15.966109","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","151"
"152","15.966413","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4894 Win=131072 Len=0 TSval=1579536641 TSecr=577335179","443","443","62441","62441","152"
"153","15.972526","104.18.2.115","192.168.111.43","TLSv1.3","1457","Application Data","62441","62441","443","443","153"
"154","15.972527","104.18.2.115","192.168.111.43","TLSv1.3","1514","Application Data","62441","62441","443","443","154"
"155","15.972529","104.18.2.115","192.168.111.43","TLSv1.3","1400","Application Data","62441","62441","443","443","155"
"156","15.972590","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=9067 Win=126848 Len=0 TSval=1579536648 TSecr=577335200","443","443","62441","62441","156"
"157","15.973051","192.168.111.43","104.18.2.115","TCP","66","[TCP Window Update] 62441  >  443 [ACK] Seq=1384 Ack=9067 Win=131072 Len=0 TSval=1579536648 TSecr=577335200","443","443","62441","62441","157"
"158","15.974084","104.18.2.115","192.168.111.43","TLSv1.3","1514","Application Data","62441","62441","443","443","158"
"159","15.974086","104.18.2.115","192.168.111.43","TLSv1.3","228","Application Data, Application Data, Application Data","62441","62441","443","443","159"
"160","15.974087","104.18.2.115","192.168.111.43","TCP","228","[TCP Retransmission] 443  >  62441 [PSH, ACK] Seq=10515 Ack=1384 Win=131072 Len=162 TSval=577335472 TSecr=1579535972","62441","62441","443","443","160"
"161","15.974148","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=10677 Win=129408 Len=0 TSval=1579536649 TSecr=577335200","443","443","62441","62441","161"
"162","15.974185","192.168.111.43","104.18.2.115","TCP","78","[TCP Dup ACK 161#1] 62441  >  443 [ACK] Seq=1384 Ack=10677 Win=129408 Len=0 TSval=1579536649 TSecr=577335472 SLE=10515 SRE=10677","443","443","62441","62441","162"
"163","16.287359","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.191? Tell 192.168.111.75","","","","","163"
"164","16.590319","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.62? Tell 192.168.111.75","","","","","164"
"165","16.900149","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","165"
"166","17.811796","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.251? Tell 192.168.111.75","","","","","166"
"167","18.113710","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.94? Tell 192.168.111.75","","","","","167"
"168","18.113712","17.248.168.100","192.168.111.43","TLSv1.2","105","Application Data","62435","62435","443","443","168"
"169","18.113713","17.248.168.100","192.168.111.43","TLSv1.2","90","Application Data","62435","62435","443","443","169"
"170","18.113714","17.248.168.100","192.168.111.43","TCP","66","443  >  62435 [FIN, ACK] Seq=64 Ack=1 Win=32 Len=0 TSval=3003919027 TSecr=168489624","62435","62435","443","443","170"
"171","18.113956","192.168.111.43","17.248.168.100","TCP","66","62435  >  443 [ACK] Seq=1 Ack=64 Win=46 Len=0 TSval=168519746 TSecr=3003919027","443","443","62435","62435","171"
"172","18.114085","192.168.111.43","17.248.168.100","TCP","66","62435  >  443 [ACK] Seq=1 Ack=65 Win=46 Len=0 TSval=168519746 TSecr=3003919027","443","443","62435","62435","172"
"173","18.433473","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.102? Tell 192.168.111.75","","","","","173"
"174","18.733429","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.251? Tell 192.168.111.75","","","","","174"
"175","19.048479","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.245? Tell 192.168.111.75","","","","","175"
"176","19.969101","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.87? Tell 192.168.111.75","","","","","176"
"177","20.159710","192.168.111.43","192.168.111.255","NBNS","92","Name query NB <01><02>__MSBROWSE__<02><01>","137","137","137","137","177"
"178","20.267727","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.251? Tell 192.168.111.75","","","","","178"
"179","20.882826","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.87? Tell 192.168.111.75","","","","","179"
