"No.","Time","Source","Destination","Protocol","Length","Info","dest (r)","dest(u)","src (r)","src(u)","New Column"
"112","16.611963","192.168.111.43","17.248.190.196","TCP","66","51664  >  443 [FIN, ACK] Seq=25 Ack=1 Win=2048 Len=0 TSval=175437111 TSecr=4090716790","443","443","51664","51664","112"
"113","16.612088","192.168.111.43","17.248.190.196","TCP","66","51666  >  443 [FIN, ACK] Seq=25 Ack=1 Win=2048 Len=0 TSval=3927997629 TSecr=4090716824","443","443","51666","51666","113"
"114","16.612161","192.168.111.43","17.248.190.196","TCP","66","51667  >  443 [FIN, ACK] Seq=25 Ack=1 Win=2048 Len=0 TSval=3224956060 TSecr=4090716681","443","443","51667","51667","114"
"115","16.631220","17.248.190.196","192.168.111.43","TCP","78","443  >  51664 [ACK] Seq=1 Ack=1 Win=39 Len=0 TSval=4090776417 TSecr=175377500 SLE=25 SRE=26","51664","51664","443","443","115"
"116","16.631337","192.168.111.43","17.248.190.196","TCP","90","[TCP Retransmission] 51664  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=2048 Len=24 TSval=175437130 TSecr=4090776417","443","443","51664","51664","116"
"117","16.635705","17.248.190.196","192.168.111.43","TCP","66","443  >  51664 [ACK] Seq=1 Ack=26 Win=39 Len=0 TSval=4090776422 TSecr=175437107","51664","51664","443","443","117"
"118","16.635707","17.248.190.196","192.168.111.43","TCP","78","443  >  51667 [ACK] Seq=1 Ack=1 Win=32 Len=0 TSval=4090776422 TSecr=3224896339 SLE=25 SRE=26","51667","51667","443","443","118"
"119","16.635708","17.248.190.196","192.168.111.43","TCP","66","443  >  51667 [ACK] Seq=1 Ack=26 Win=32 Len=0 TSval=4090776422 TSecr=3224956057","51667","51667","443","443","119"
"120","16.635777","192.168.111.43","17.248.190.196","TCP","90","[TCP Spurious Retransmission] 51667  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=2048 Len=24 TSval=3224956084 TSecr=4090776422","443","443","51667","51667","120"
"121","16.637008","17.248.190.196","192.168.111.43","TCP","66","443  >  51667 [FIN, ACK] Seq=1 Ack=26 Win=32 Len=0 TSval=4090776422 TSecr=3224956057","51667","51667","443","443","121"
"122","16.637196","192.168.111.43","17.248.190.196","TCP","66","51667  >  443 [ACK] Seq=26 Ack=2 Win=2048 Len=0 TSval=3224956085 TSecr=4090776422","443","443","51667","51667","122"
"123","16.644248","17.248.190.196","192.168.111.43","TCP","66","443  >  51664 [FIN, ACK] Seq=1 Ack=26 Win=39 Len=0 TSval=4090776422 TSecr=175437107","51664","51664","443","443","123"
"124","16.644250","17.248.190.196","192.168.111.43","TCP","78","443  >  51666 [ACK] Seq=1 Ack=1 Win=34 Len=0 TSval=4090776422 TSecr=3927938053 SLE=25 SRE=26","51666","51666","443","443","124"
"125","16.644251","17.248.190.196","192.168.111.43","TCP","66","443  >  51666 [ACK] Seq=1 Ack=26 Win=34 Len=0 TSval=4090776422 TSecr=3927997625","51666","51666","443","443","125"
"126","16.644252","17.248.190.196","192.168.111.43","TCP","66","443  >  51666 [FIN, ACK] Seq=1 Ack=26 Win=34 Len=0 TSval=4090776423 TSecr=3927997625","51666","51666","443","443","126"
"127","16.644504","192.168.111.43","17.248.190.196","TCP","66","51664  >  443 [ACK] Seq=26 Ack=2 Win=2048 Len=0 TSval=175437143 TSecr=4090776422","443","443","51664","51664","127"
"128","16.644557","192.168.111.43","17.248.190.196","TCP","90","[TCP Spurious Retransmission] 51666  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=2048 Len=24 TSval=3927997661 TSecr=4090776422","443","443","51666","51666","128"
"129","16.644614","192.168.111.43","17.248.190.196","TCP","66","51666  >  443 [ACK] Seq=26 Ack=2 Win=2048 Len=0 TSval=3927997661 TSecr=4090776423","443","443","51666","51666","129"
"130","16.653529","17.248.190.196","192.168.111.43","TCP","78","[TCP Dup ACK 117#1] 443  >  51664 [ACK] Seq=2 Ack=26 Win=39 Len=0 TSval=4090776441 TSecr=175437130 SLE=1 SRE=26","51664","51664","443","443","130"
"131","16.889782","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.51? Tell 192.168.111.75","","","","","131"
"132","17.196861","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.45? Tell 192.168.111.75","","","","","132"
"133","17.501365","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.51? Tell 192.168.111.75","","","","","133"
"134","17.809547","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.5? Tell 192.168.111.75","","","","","134"
"135","17.809549","ASUSTekCOMPU_1f:de:80","Apple_1c:fe:8a","ARP","42","192.168.111.1 is at 34:97:f6:1f:de:80","","","","","135"
"136","18.057124","192.168.111.43","192.168.111.1","DNS","73","Standard query 0x4811 A openrouter.ai","53","53","53686","53686","136"
"137","18.078076","192.168.111.1","192.168.111.43","DNS","105","Standard query response 0x4811 A openrouter.ai A 104.18.2.115 A 104.18.3.115","53686","53686","53","53","137"
"138","18.079214","192.168.111.43","104.18.2.115","TCP","78","51678  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2400258905 TSecr=0 SACK_PERM","443","443","51678","51678","138"
"139","18.095507","104.18.2.115","192.168.111.43","TCP","74","443  >  51678 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=3518548386 TSecr=2400258905 WS=8192","51678","51678","443","443","139"
"140","18.095651","192.168.111.43","104.18.2.115","TCP","66","51678  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=2400258921 TSecr=3518548386","443","443","51678","51678","140"
"141","18.096192","192.168.111.43","104.18.2.115","TLSv1.3","583","Client Hello (SNI=openrouter.ai)","443","443","51678","51678","141"
"142","18.114924","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.52? Tell 192.168.111.75","","","","","142"
"143","18.116414","104.18.2.115","192.168.111.43","TCP","66","443  >  51678 [ACK] Seq=1 Ack=518 Win=131072 Len=0 TSval=3518548408 TSecr=2400258921","51678","51678","443","443","143"
"144","18.119286","104.18.2.115","192.168.111.43","TLSv1.3","1514","Server Hello, Change Cipher Spec","51678","51678","443","443","144"
"145","18.119287","104.18.2.115","192.168.111.43","TLSv1.3","1464","Application Data","51678","51678","443","443","145"
"146","18.119353","192.168.111.43","104.18.2.115","TCP","66","51678  >  443 [ACK] Seq=518 Ack=2847 Win=128960 Len=0 TSval=2400258945 TSecr=3518548409","443","443","51678","51678","146"
"147","18.122845","192.168.111.43","104.18.2.115","TLSv1.3","146","Change Cipher Spec, Application Data","443","443","51678","51678","147"
"148","18.123369","192.168.111.43","104.18.2.115","TLSv1.3","685","Application Data","443","443","51678","51678","148"
"149","18.123454","192.168.111.43","104.18.2.115","TLSv1.3","397","Application Data","443","443","51678","51678","149"
"150","18.139389","104.18.2.115","192.168.111.43","TCP","66","443  >  51678 [ACK] Seq=2847 Ack=598 Win=131072 Len=0 TSval=3518548430 TSecr=2400258949","51678","51678","443","443","150"
"151","18.139391","104.18.2.115","192.168.111.43","TCP","66","443  >  51678 [ACK] Seq=2847 Ack=1548 Win=131072 Len=0 TSval=3518548430 TSecr=2400258949","51678","51678","443","443","151"
"152","18.526942","104.18.2.115","192.168.111.43","TLSv1.3","1130","Application Data, Application Data","51678","51678","443","443","152"
"153","18.527142","192.168.111.43","104.18.2.115","TCP","66","51678  >  443 [ACK] Seq=1548 Ack=3911 Win=129984 Len=0 TSval=2400259353 TSecr=3518548703","443","443","51678","51678","153"
"154","18.643802","104.18.2.115","192.168.111.43","TLSv1.3","104","Application Data","51678","51678","443","443","154"
"155","18.643983","192.168.111.43","104.18.2.115","TCP","66","51678  >  443 [ACK] Seq=1548 Ack=3949 Win=131008 Len=0 TSval=2400259470 TSecr=3518548932","443","443","51678","51678","155"
"156","18.734225","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.102? Tell 192.168.111.75","","","","","156"
"157","19.041126","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.5? Tell 192.168.111.75","","","","","157"
"158","19.143006","104.18.2.115","192.168.111.43","TLSv1.3","102","Application Data","51678","51678","443","443","158"
"159","19.143221","192.168.111.43","104.18.2.115","TCP","66","51678  >  443 [ACK] Seq=1548 Ack=3985 Win=131008 Len=0 TSval=2400259969 TSecr=3518549350","443","443","51678","51678","159"
"160","19.549381","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","51678","51678","443","443","160"
